Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Total Units,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,34,001000,025,    ,00000 ,00070 ,19347 ,408,35620, , ,07747      ,1,2,12,Aberdeen township,31,31,31,4949000,0,0,0,0,0,0,0,0,0,31,31,4949000,0,0,0,0,0,0,0,0,0
2024,34,003000,019,    ,00000 ,00550 ,4730 ,408,35620, , ,08848      ,1,2,12,Alexandria township,8,8,8,4449950,0,0,0,0,0,0,0,0,0,8,8,4449950,0,0,0,0,0,0,0,0,0
2024,34,005000,003,0030,00700 ,00700 ,6701 ,408,35620, , ,07401      ,1,2,0,Allendale borough,53,4,4,6200000,0,0,0,0,0,0,9,49,13999997,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,006000,025,0040,00730 ,00730 ,483 ,408,35620, , ,07711      ,1,2,12,Allenhurst borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,007000,025,0050,00760 ,00760 ,1761 ,408,35620, , ,08514      ,1,2,0,Allentown borough,1,1,1,298716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,010000,003,0090,01090 ,01090 ,1841 ,408,35620, , ,07620      ,1,2,12,Alpine borough,5,5,5,5339550,0,0,0,0,0,0,0,0,0,5,5,5339550,0,0,0,0,0,0,0,0,0
2024,34,011000,037,0110,01330 ,01330 ,561 ,408,35620, , ,07821      ,1,2,12,Andover borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,012000,037,    ,00000 ,01360 ,5847 ,408,35620, , ,08802      ,1,2,7,Andover township,17,17,17,2670155,0,0,0,0,0,0,0,0,0,9,9,1718500,0,0,0,0,0,0,0,0,0
2024,34,013000,025,0140,01960 ,01960 ,15377 ,408,35620, , ,07712      ,1,2,12,Asbury Park,51,51,51,10937050,0,0,0,0,0,0,0,0,0,51,51,10937050,0,0,0,0,0,0,0,0,0
2024,34,016000,025,0170,02110 ,02110 ,4361 ,408,35620, , ,07716      ,1,2,12,Atlantic Highlands borough,7,7,7,438870,0,0,0,0,0,0,0,0,0,7,7,438870,0,0,0,0,0,0,0,0,0
2024,34,020000,025,0220,02440 ,02440 ,1783 ,408,35620, , ,07717      ,1,2,11,Avon-by-the-Sea borough,56,56,56,35335725,0,0,0,0,0,0,0,0,0,54,54,34406879,0,0,0,0,0,0,0,0,0
2024,34,021000,029,0250,03130 ,03130 ,588 ,408,35620, , ,08006      ,1,2,12,Barnegat Light borough,8,8,8,5813800,0,0,0,0,0,0,0,0,0,8,8,5813800,0,0,0,0,0,0,0,0,0
2024,34,022000,029,    ,00000 ,03050 ,23988 ,408,35620, , ,08005      ,1,2,11,Barnegat township,169,119,119,20390447,1,2,377100,1,4,240553,2,44,3152483,103,103,18755306,1,2,377100,0,0,0,1,39,2832650
2024,34,025000,029,0270,03520 ,03520 ,983 ,408,35620, , ,08742      ,1,2,12,Bay Head borough,11,11,11,8915000,0,0,0,0,0,0,0,0,0,11,11,8915000,0,0,0,0,0,0,0,0,0
2024,34,026000,017,0280,03580 ,03580 ,65165 ,408,35620, , ,07002      ,1,2,8,Bayonne,150,22,22,5622217,1,2,326580,0,0,0,4,126,17237639,18,18,4147750,0,0,0,0,0,0,0,0,0
2024,34,027000,029,0290,03940 ,03940 ,1216 ,408,35620, , ,08008      ,1,2,12,Beach Haven borough,25,25,25,20362672,0,0,0,0,0,0,0,0,0,25,25,20362672,0,0,0,0,0,0,0,0,0
2024,34,028000,029,0310,04180 ,04180 ,11434 ,408,35620, , ,087222897  ,1,2,6,Beachwood borough,18,18,18,2706313,0,0,0,0,0,0,0,0,0,7,7,751960,0,0,0,0,0,0,0,0,0
2024,34,029000,035,    ,00000 ,04450 ,7949 ,408,35620, , ,07921      ,1,2,7,Bedminster township,2,2,2,4112742,0,0,0,0,0,0,0,0,0,1,1,340075,0,0,0,0,0,0,0,0,0
2024,34,030000,013,    ,00000 ,04695 ,36446 ,408,35620, , ,07109      ,1,2,9,Belleville township,84,1,1,236800,7,14,1964640,0,0,0,6,69,6231575,1,1,236800,6,12,1691000,0,0,0,3,32,2200000
2024,34,032000,025,0370,04930 ,04930 ,5540 ,408,35620, , ,07719      ,1,2,12,Belmar borough,10,10,10,10291200,0,0,0,0,0,0,0,0,0,10,10,10291200,0,0,0,0,0,0,0,0,0
2024,34,035000,003,0390,05170 ,05170 ,27371 ,408,35620, , ,07621      ,1,2,12,Bergenfield borough,11,11,11,3952100,0,0,0,0,0,0,0,0,0,11,11,3952100,0,0,0,0,0,0,0,0,0
2024,34,036000,039,    ,00000 ,05320 ,13313 ,408,35620, , ,07922      ,1,2,5,Berkeley Heights township,121,24,24,2355419,0,0,0,0,0,0,7,97,9783728,7,7,819645,0,0,0,0,0,0,0,0,0
2024,34,037000,029,    ,00000 ,05305 ,42362 ,408,35620, , ,08721      ,1,2,12,Berkeley township,144,144,144,27739912,0,0,0,0,0,0,0,0,0,144,144,27739912,0,0,0,0,0,0,0,0,0
2024,34,040000,035,    ,00000 ,05560 ,27025 ,408,35620, , ,07920      ,1,2,12,Bernards township,5,5,5,2226750,0,0,0,0,0,0,0,0,0,5,5,2226750,0,0,0,0,0,0,0,0,0
2024,34,041000,035,0410,05590 ,05590 ,7556 ,408,35620, , ,07924      ,1,2,6,Bernardsville borough,23,18,18,5898209,0,0,0,0,0,0,1,5,250000,11,11,4688650,0,0,0,0,0,0,0,0,0
2024,34,042000,019,    ,00000 ,05650 ,3834 ,408,35620, , ,08802      ,1,2,12,Bethlehem township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,045000,013,    ,00000 ,06260 ,49810 ,408,35620, , ,07003      ,1,2,12,Bloomfield township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,046000,031,0470,06340 ,06340 ,8035 ,408,35620, , ,07403      ,1,2,12,Bloomingdale borough,2,2,2,689163,0,0,0,0,0,0,0,0,0,2,2,689163,0,0,0,0,0,0,0,0,0
2024,34,047000,019,0480,06370 ,06370 ,835 ,408,35620, , ,08804      ,1,2,12,Bloomsbury borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,048000,003,0490,06490 ,06490 ,8297 ,408,35620, , ,07603      ,1,2,0,Bogota borough,154,9,9,1623506,0,0,0,4,12,2262332,12,133,10810476,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,049000,027,0500,06610 ,06610 ,8878 ,408,35620, , ,07005      ,1,2,4,Boonton town,12,12,12,2478945,0,0,0,0,0,0,0,0,0,11,11,2050335,0,0,0,0,0,0,0,0,0
2024,34,050000,027,    ,00000 ,06640 ,4220 ,408,35620, , ,07005      ,1,2,5,Boonton township,9,9,9,5126700,0,0,0,0,0,0,0,0,0,5,5,3771200,0,0,0,0,0,0,0,0,0
2024,34,053000,035,0520,06790 ,06790 ,10159 ,408,35620, , ,08805      ,1,2,8,Bound Brook borough,63,8,8,1631099,0,0,0,0,0,0,4,55,6117836,5,5,668875,0,0,0,0,0,0,0,0,0
2024,34,054000,025,0530,06970 ,06970 ,4131 ,408,35620, , ,07720      ,1,2,0,Bradley Beach borough,21,21,21,7287775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,055000,035,    ,00000 ,07180 ,14512 ,408,35620, , ,08876      ,1,2,11,Branchburg township,124,5,5,2014928,0,0,0,1,3,472845,10,116,13777184,4,4,1692000,0,0,0,1,3,472845,10,116,13777184
2024,34,056000,037,0560,07300 ,07300 ,775 ,408,35620, , ,07826      ,1,2,9,Branchville borough,34,30,30,373492,2,4,39473,0,0,0,0,0,0,27,27,261472,2,4,39473,0,0,0,0,0,0
2024,34,057000,029,    ,00000 ,07420 ,76863 ,408,35620, , ,08723      ,1,2,12,Brick township,78,78,78,34875500,0,0,0,0,0,0,0,0,0,78,78,34875500,0,0,0,0,0,0,0,0,0
2024,34,059000,035,    ,00000 ,07720 ,43966 ,408,35620, , ,08807      ,1,2,6,Bridgewater township,20,20,20,6780764,0,0,0,0,0,0,0,0,0,8,8,3015460,0,0,0,0,0,0,0,0,0
2024,34,060000,025,0600,07750 ,07750 ,4661 ,408,35620, , ,08730      ,1,2,10,Brielle borough,21,21,21,7137536,0,0,0,0,0,0,0,0,0,19,19,6228336,0,0,0,0,0,0,0,0,0
2024,34,068000,027,0720,09040 ,09040 ,7645 ,408,35620, , ,07403      ,1,2,12,Butler borough,2,2,2,346575,0,0,0,0,0,0,0,0,0,2,2,346575,0,0,0,0,0,0,0,0,0
2024,34,069000,037,    ,00000 ,09160 ,7890 ,408,35620,2, ,07874      ,1,2,12,Byram township,1,1,1,800000,0,0,0,0,0,0,0,0,0,1,1,800000,0,0,0,0,0,0,0,0,0
2024,34,070000,013,0750,09250 ,09250 ,7943 ,408,35620, , ,07006      ,1,2,3,Caldwell borough,84,8,8,3024438,0,0,0,0,0,0,10,76,9001686,2,2,378111,0,0,0,0,0,0,0,0,0
2024,34,071000,019,0760,09280 ,09280 ,1033 ,408,35620, , ,07830      ,1,2,12,Califon borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,077000,003,0810,10480 ,10480 ,6109 ,408,35620, , ,07072      ,1,2,12,Carlstadt borough,220,104,104,1357564,40,80,426179,11,36,318800,0,0,0,104,104,1357564,40,80,426179,11,36,318800,0,0,0
2024,34,079000,023,0830,10750 ,10750 ,23383 ,408,35620, , ,07008      ,1,2,0,Carteret borough,45,3,3,390555,3,6,631200,0,0,0,7,36,2375482,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,080000,013,    ,00000 ,11200 ,12796 ,408,35620, , ,07009      ,1,2,3,Cedar Grove township,75,75,75,17381453,0,0,0,0,0,0,0,0,0,2,2,4373125,0,0,0,0,0,0,0,0,0
2024,34,081000,027,0870,12100 ,12100 ,8601 ,408,35620, , ,07940      ,1,2,9,Chatham borough,95,16,16,8185704,0,0,0,1,3,700000,4,76,15174324,12,12,6772570,0,0,0,0,0,0,1,18,3243000
2024,34,082000,027,    ,00000 ,12130 ,10107 ,408,35620, , ,07928      ,1,2,11,Chatham township,60,60,60,4258529,0,0,0,0,0,0,0,0,0,57,57,3362385,0,0,0,0,0,0,0,0,0
2024,34,085000,027,0900,12580 ,12580 ,1620 ,408,35620, , ,07930      ,1,2,12,Chester borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,086000,027,    ,00000 ,12610 ,7619 ,408,35620, , ,07930      ,1,2,12,Chester township,4,4,4,1019600,0,0,0,0,0,0,0,0,0,4,4,1019600,0,0,0,0,0,0,0,0,0
2024,34,089000,039,    ,00000 ,13150 ,15837 ,408,35620, , ,07066      ,1,2,12,Clark township,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,092000,003,0940,13570 ,13570 ,26001 ,408,35620, , ,07010      ,1,2,12,Cliffside Park borough,60,8,8,3561575,26,52,10728746,0,0,0,0,0,0,8,8,3561575,26,52,10728746,0,0,0,0,0,0
2024,34,093000,031,0960,13690 ,13690 ,85025 ,408,35620, , ,07011      ,1,2,4,Clifton,155,20,20,5122525,1,2,242000,0,0,0,8,133,2445749,5,5,1668650,1,2,242000,0,0,0,0,0,0
2024,34,094000,019,0970,13720 ,13720 ,2675 ,408,35620, , ,08809      ,1,2,0,Clinton town,80,7,7,968835,1,2,233200,0,0,0,12,71,4140037,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,095000,019,    ,00000 ,13750 ,12881 ,408,35620, , ,08833      ,1,2,12,Clinton township,8,8,8,2102867,0,0,0,0,0,0,0,0,0,8,8,2102867,0,0,0,0,0,0,0,0,0
2024,34,096000,003,0980,13810 ,13810 ,8446 ,408,35620, , ,07624      ,1,2,12,Closter borough,14,14,14,9653160,0,0,0,0,0,0,0,0,0,14,14,9653160,0,0,0,0,0,0,0,0,0
2024,34,098000,025,    ,00000 ,14560 ,9841 ,408,35620, , ,07722      ,1,2,12,Colts Neck township,11,11,11,4625000,0,0,0,0,0,0,0,0,0,11,11,4625000,0,0,0,0,0,0,0,0,0
2024,34,101000,023,    ,00000 ,15550 ,4153 ,408,35620, , ,08512      ,1,2,12,Cranbury township,69,69,69,59529500,0,0,0,0,0,0,0,0,0,69,69,59529500,0,0,0,0,0,0,0,0,0
2024,34,102000,039,    ,00000 ,15640 ,24028 ,408,35620, , ,07016      ,1,2,1,Cranford township,8,8,8,2022062,0,0,0,0,0,0,0,0,0,2,2,126500,0,0,0,0,0,0,0,0,0
2024,34,103000,003,1090,15820 ,15820 ,8626 ,408,35620, , ,07626      ,1,2,5,Cresskill borough,18,18,18,6307435,0,0,0,0,0,0,0,0,0,8,8,2366650,0,0,0,0,0,0,0,0,0
2024,34,105000,025,1120,16660 ,16660 ,721 ,408,35620, , ,07723      ,1,2,2,Deal borough,18,18,18,19823621,0,0,0,0,0,0,0,0,0,3,3,2400200,0,0,0,0,0,0,0,0,0
2024,34,108000,019,    ,00000 ,17170 ,4409 ,408,35620, , ,08557      ,1,2,6,Delaware township,12,12,12,956217,0,0,0,0,0,0,0,0,0,11,11,845081,0,0,0,0,0,0,0,0,0
2024,34,110000,003,1150,17530 ,17530 ,4838 ,408,35620, , ,07627      ,1,2,12,Demarest borough,14,14,14,13136138,0,0,0,0,0,66500,0,0,0,14,14,13136138,0,0,0,0,0,66500,0,0,0
2024,34,112000,027,    ,00000 ,17650 ,16362 ,408,35620, , ,078342122  ,1,2,12,Denville township,59,55,55,17586086,0,0,0,1,4,682192,0,0,0,55,55,17586086,0,0,0,1,4,682192,0,0,0
2024,34,114000,027,1170,18070 ,18070 ,17619 ,408,35620, , ,07801      ,1,2,12,Dover town,94,4,4,1019200,0,0,0,0,0,0,1,90,13220000,4,4,1019200,0,0,0,0,0,0,1,90,13220000
2024,34,115000,029,    ,00000 ,73125 ,95339 ,408,35620, , ,08753      ,1,2,12,Toms River township,115,115,115,40323012,0,0,0,0,0,0,0,0,0,115,115,40323012,0,0,0,0,0,0,0,0,0
2024,34,117000,003,1200,18400 ,18400 ,17581 ,408,35620, , ,07628      ,1,2,12,Dumont borough,3,1,1,464319,1,2,337022,0,0,0,0,0,0,1,1,464319,1,2,337022,0,0,0,0,0,0
2024,34,118000,023,1210,18490 ,18490 ,7141 ,408,35620, , ,08812      ,1,2,0,Dunellen borough,56,38,38,17674417,0,0,0,0,0,0,3,18,1954285,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,119000,029,    ,00000 ,18670 ,1613 ,408,35620, , ,080500409  ,1,2,12,Eagleswood township,13,13,13,3557547,0,0,0,0,0,0,0,0,0,13,13,3557547,0,0,0,0,0,0,0,0,0
2024,34,120000,019,    ,00000 ,18820 ,3842 ,408,35620, , ,08530      ,1,2,3,East Amwell township,6,6,6,367323,0,0,0,0,0,0,0,0,0,4,4,141513,0,0,0,0,0,0,0,0,0
2024,34,121000,023,    ,00000 ,19000 ,48309 ,408,35620, , ,08816      ,1,2,11,East Brunswick township,341,16,16,3006030,0,0,0,0,0,0,2,325,56769707,14,14,2716501,0,0,0,0,0,0,1,308,55491100
2024,34,123000,027,    ,00000 ,19210 ,10868 ,408,35620, , ,07936      ,1,2,12,East Hanover township,75,68,68,24322000,0,0,0,0,0,0,1,7,973925,68,68,24322000,0,0,0,0,0,0,1,7,973925
2024,34,124000,017,1250,19360 ,19360 ,2581 ,408,35620, , ,07029      ,1,2,0,East Newark borough,18,0,0,0,9,18,1923426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,125000,013,1260,19390 ,19390 ,64630 ,408,35620, , ,07019      ,1,2,12,East Orange,134,10,10,2014300,12,24,4076408,2,6,370100,3,94,12264000,10,10,2014300,12,24,4076408,2,6,370100,3,94,12264000
2024,34,126000,003,1280,19510 ,19510 ,9646 ,408,35620, , ,07073      ,1,2,12,East Rutherford borough,23,0,0,0,0,0,0,0,0,0,1,23,1500000,0,0,0,0,0,0,0,0,0,1,23,1500000
2024,34,129000,025,1290,19840 ,19840 ,12132 ,408,35620, , ,07724      ,1,2,10,Eatontown borough,23,8,8,1704000,0,0,0,4,15,2315429,0,0,0,8,8,1704000,0,0,0,3,12,1784000,0,0,0
2024,34,131000,003,1310,20020 ,20020 ,14396 ,408,35620, , ,07020      ,1,2,12,Edgewater borough,189,4,4,1809700,4,8,1184726,2,6,2601000,1,171,8250000,4,4,1809700,4,8,1184726,2,6,2601000,1,171,8250000
2024,34,132000,023,    ,00000 ,20230 ,98721 ,408,35620, , ,08817      ,1,2,11,Edison township,118,118,118,22926054,0,0,0,0,0,0,0,0,0,111,111,21829410,0,0,0,0,0,0,0,0,0
2024,34,135000,039,1330,21000 ,21000 ,128382 ,408,35620, , ,07201      ,1,2,11,Elizabeth,119,1,1,221450,32,64,8819474,2,8,1462000,5,46,3650797,1,1,221450,30,60,8439600,2,8,1462000,4,40,3446500
2024,34,138000,003,1360,21300 ,21300 ,19863 ,408,35620, , ,07407      ,1,2,12,Elmwood Park borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,34,140000,003,1380,21450 ,21450 ,7563 ,408,35620, , ,07630      ,1,2,1,Emerson borough,2,2,2,983000,0,0,0,0,0,0,0,0,0,1,1,623000,0,0,0,0,0,0,0,0,0
2024,34,141000,003,1390,21480 ,21480 ,28278 ,408,35620, , ,07631      ,1,2,3,Englewood,19,14,14,17477965,0,0,0,0,0,0,1,5,444069,4,4,3738800,0,0,0,0,0,0,0,0,0
2024,34,142000,003,1400,21510 ,21510 ,5320 ,408,35620, , ,07632      ,1,2,9,Englewood Cliffs borough,56,48,48,39342987,4,8,1204300,0,0,0,0,0,0,43,43,33661860,4,8,1204300,0,0,0,0,0,0
2024,34,143000,025,1410,21570 ,21570 ,1908 ,408,35620, , ,07726      ,1,2,12,Englishtown borough,2,2,2,375500,0,0,0,0,0,0,0,0,0,2,2,375500,0,0,0,0,0,0,0,0,0
2024,34,145000,013,1440,21840 ,21840 ,2071 ,408,35620, , ,07021      ,1,2,1,Essex Fells borough,7,7,7,2816641,0,0,0,0,0,0,0,0,0,1,1,340075,0,0,0,0,0,0,0,0,0
